SUBJECT,CONTENT
physics/,"52 PHYSICS X (m) 40 A —2-10123456S—)> Fig. 3.16 Position—time graphs of two objetcts with equal velocities. This shows: v (3.140) Now we consider some special cases : (a) If vB = vA, vB—vA = 0. Then, from Eq. (3.13), xB (t) — xA (t) = xB (O) — xA (0). Therefore, the two objects stay at a constant distance (x8 (0) — xA (0)) apart, and their position—time graphs are straight lines parallel to each other as shown in Fig. 3.16. The relative velocity DAB or vBA is zero in this case. (b) If vA > v8, v3 — vA is negative. One graph is steeper than the other and they meet at a common point. For example, suppose vA = 20 m s‘1 and xA (O) = 10 m; and vB = 10 m s‘1,xB(O) = 40 m; then the time at which they meet is t = 3 s (Fig. 3.17). At this instant they are both at a position xA (t) = xB (t) = 70 m. Thus, object A overtakes object B at this time. In this case = 10m sr1 — 20m s*1 = — 10 m s*1=— DAB. (c) Suppose DA and vB are of opposite signs. For example, if in the above example object A is moving with 20 m s‘1 starting at xA(O) = 10 m and object B is moving with — 10 m s*1 starting at xB (O) = 40 m, the two objects meet at t= 1 s (Fig. 3.18). The velocity of B relative to A, vBA = [—10 — (20)] m s*1 = —30 m S“1 = — vAB. In this case, the magnitude of vBA or vAB ( = 30 m s‘l) is greater than the magnitude of velocity of A or that of B. If the objects under consideration are two trains, then for a person sitting on either of the two, the other train seems to go very fast. ’ vBA Note that Eq. (3.14) are valid even if DA and vB represent instantaneous velocities. 2019-20 140 l 120 x(m) 100 80 60 40 20 1(8) —> Fig. 3.17 Position—time graphs of two objects with unequal velocities, showing the time of meeting. A 1 20 1 00 X(m) so 60 40 20 4\\6 ,0 as) B 40 Fig. 3.1 8 Position-time graphs of two objects with velocities in opposite directions, showing the time of meeting. b Example 3.9 Two parallel rail tracks run north—south. Train A moves north with a speed of 54 km h"". and train B moves south with a speed of 90 km h"". What is the (a) velocity of B with respect to A ?. (b) velocity of ground with respect to B ?, and (c) velocity of a monkey running on the roof of the train A against its motion (with a velocity of 18 km h"" with respect to the train A) as observed by a man standing on the ground ? Answer Choose the positive direction of x-axis to be from south to north. Then,"
biology/,"66 w $54—— Flower . f."" [0' 0 ., .4——Fruit an E2 7 Stem ‘— Leaf Shoot system Node—y , W 7 Internode { N % Bud 4— Pr1mary rOOt Root ‘ Secondary system root Figure 5.1 Parts of a ﬂowering plant Laterals Fibrous roots (a) (b) Figure 5.2 Different types of roots : (a) Tap (b) Fibrous 2019-2020 BIOLOGY tap root system, as seen in the mustard plant (Figure 5.2a). In monocotyledonous plants, the primary root is short lived and is replaced by a large number of roots. These roots originate from the base of the stem and constitute the ﬁbrous root system, as seen in the wheat plant (Figure 5.2b). In some plants, like grass, Monstera and the banyan tree, roots arise from parts of the plant other than the radicle and are called adventitious roots (Figure 5.20). The main functions of the root system are absorption of water and minerals from the soil, providing a proper anchorage to the plant parts, storing reserve food material and synthesis of plant growth regulators. Adventitious roots (C) (c) Adventitious"
accounts/,"Trial Balance and Rectification of Errors 209 (vii) Salary A/c Dr. 2,000 To Employee’s personal A/c 2,000 [Salary paid wrongly debited to employee’s personal account, now corrected) Suspense Account Dr. Cr. ? ? Difference as per 10,000 trial balance Purchases Sales return 1,000 Sales Purchases Sales Illustration 5 Trial balance of Rahul did not agree, Rahul put the difference to suspense account. Subsequently, he located the following errors : (i) Wages paid for installation of Machinery ? 600 was posted to wages account. (ii) Repairs to Machinery ? 400 debited to Machinery account. (iii) Repairs paid for the overhauling of second hand machinery purchased ? 1,000 was debited to Repairs account. (iv) Own business material ? 8,000 and wages ? 2,000 were used for construction of building. No adjustment was made in the books. (v) Furniture purchased for ? 5,000 was posted to purchase account as ? 500. (vi) Old machinery sold to Karim at its book value of ? 2,000 was recorded through sales book. [vii] Total of sales returns book ? 3,000 was not posted to the ledger. Rectify the above errors and prepare suspense account to ascertain the original difference in trial balance. [i] Machinery A/c Dr. 600 To Wages A/c 600 [Wages paid for installation of machinery wrongly debited to wages account, now rectified) (ii) Repairs A/c Dr. 400 To Machinery A/c 400 [Repairs paid wrongly debited to machinery account now rectified) 2019-2020"
biology/,"154 BioquY 9. 12 ENZYMES Almost all enzymes are proteins. There are some nucleic acids that behave like enzymes. These are called ribozymes. One can depict an enzyme by a line diagram. An enzyme like any protein has a primary structure, i.e., amino acid sequence of the protein. An enzyme like any protein has the secondary and the tertiary structure. When you look at a tertiary structure (Figure 9.4 b) you will notice that the backbone of the protein chain folds upon itself, the chain criss-crosses itself and hence, many crevices or pockets are made. One such pocket is the ‘active site’. An active site of an enzyme is a crevice or pocket into which the substrate fits. Thus enzymes, through their active site, catalyse reactions at a high rate. Enzyme catalysts differ from inorganic catalysts in many ways, but one major difference needs mention. Inorganic catalysts work efficiently at high temperatures and high pressures, while enzymes get damaged at high temperatures (say above 40°C). However, enzymes isolated from organisms who normally live under extremely high temperatures (e. g., hot vents and sulphur springs), are stable and retain their catalytic power even at high temperatures (upto 80°—90°C). Thermal stability is thus an important quality of such enzymes isolated from thermophilic organisms. 9. 12. 1 Chemical Reactions How do we understand these enzymes? Let us first understand a chemical reaction. Chemical compounds undergo two types of changes. A physical change simply refers to a change in shape without breaking of bonds. This is a physical process. Another physical process is a change in state of matter: when ice melts into water, or when water becomes a vapour. These are also physical processes. However, when bonds are broken and new bonds are formed during transformation, this will be called a chemical reaction. For example: Ba(OH)2 + H2804 —> BaSO4 + 2H2O is an inorganic chemical reaction. Similarly, hydrolysis of starch into glucose is an organic chemical reaction. Rate of a physical or chemical process refers to the amount of product formed per unit time. It can be expressed as: 6 P rate — — 6: Rate can also be called velocity if the direction is specified. Rates of physical and chemical processes are inﬂuenced by temperature among other factors. A general rule of thumb is that rate doubles or decreases by half 2019-2020"
biology/,"PLANT GROWTH AND DEVELOPMENT 249 Auxins also induce parthenocarpy, e. g., in tomatoes. They are widely used as herbicides. 2, 4—D, widely used to kill dicotyledonous weeds, does not affect mature monocotyledonous plants. It is used to prepare weed-free lawns by gardeners. Auxin also controls xylem differentiation and helps in cell division. 1 5. 4.3.2 Gibberellins Gibberellins are another kind of promotory PGR. There are more than 100 gibberellins reported from widely different organisms such as fungi and higher plants. They are denoted Figure 15.11 Apical dominance in plants : as GAI. GAZ. GA3 and so on. However. (a) A plant with apical bud intact Gibberellic acid (GA?) was one of the first (blAplal’lt with apical bud removed gibberellins to be discovered and remains the Note the growth of lateral buds into most intensively studied form. All GAS are branChes after decapitation acidic. They produce a wide range of physiological responses in the plants. Their ability to cause an increase in length of axis is used to increase the length of grapes stalks. Gibberellins, cause fruits like apple to elongate and improve its shape. They also delay senescence. Thus, the fruits can be left on the tree longer so as to extend the market period. GA3 is used to speed up the malting process in brewing industry. Sugarcane stores carbohydrate as sugar in their stems. Spraying sugarcane crop with gibberellins increases the length of the stem, thus increasing the yield by as much as 20 tonnes per acre. Spraying juvenile conifers with GAS hastens the maturity period, thus leading to early seed production. Gibberellins also promotes bolting (intemode elongation just prior to ﬂowering) in beet, cabbages and many plants with rosette habit. 1 5.4.3.3 Cytokinins Cytokinins have speciﬁc effects on cytokinesis, and were discovered as kinetin (a modiﬁed form of adenine, a purine) from the autoclaved herring sperm DNA. Kinetin does not occur naturally in plants. Search for natural substances with cytokinin-like activities led to the isolation of zeatin from corn-kernels and coconut milk. Since the discovery of zeatin, several naturally occurring cytokinins, and some synthetic compounds with cell division promoting activity, have been identiﬁed. Natural cytokinins are synthesised in regions where rapid cell division occurs, for example, root apices, developing shoot buds, young fruits etc. It helps to produce new"
physics/,"MOTION [N A STRAIGHT LINE — vA= +54kmh’1 = l5ms*1 B=O—vB=25ms4. v = —90kmhr1 = —25msr1 B Relative velocity of B with respect to A = vB— DA: 53 In (c), let the velocity of the monkey with respect — 40 m s*1 , i.e. the train B appears to A to move with respect to A, with a speed of 40 m s*1 from north to south. MA Relative velocity of ground with respect to UM = (15 - 5) m S’1 = 10 m S’l- 9°.“ SUNIMARY An object is said to be in motion if its position changes with time. The position of the object can be specified with reference to a conveniently chosen origin. For motion in a straight line, position to the right of the origin is taken as positive and to the left as negative. Path length is defined as the total length of the path traversed by an object. Displacement is the change in position 2 Ax = x2 — x1. Path length is greater or equal to the magnitude of the displacement between the same points. An object is said to be in uniform motion in a straight line if its displacement is equal in equal intervals of time. Otherwise, the motion is said to be non—uniform. Average velocity is the displacement divided by the time interval in which the displacement occurs : _ Ax v 2 _ At On an x—t graph, the average velocity over a time interval is the slope of the line connecting the initial and final positions corresponding to that interval. Average Speed is the ratio of total path length traversed and the corresponding time interval. The average speed of an object is greater or equal to the magnitude of the average velocity over a given time interval. Instantaneous velocity or simply velocity is defined as the limit of the average velocity as the time interval At becomes infinitesimally small : . — . Ax dx v: ltmv= lim—=— AtaO At—>0 At dt The velocity at a particular instant is equal to the slope of the tangent drawn on position~time graph at that instant. Average acceleration is the change in velocity divided by the time interval during which the change occurs : — Av a = — At Instantaneous acceleration is defined as the limit of the average acceleration as the time interval At goes to zero : . — . Av dv a=llma=lm1—=— At—>O At—~>0 At dt The acceleration of an object at a particular time is the slope of the velocity—time graph at that instant of time. For uniform motion, acceleration is zero and the x—t graph is a straight line inclined to the time axis and the v-t graph is a straight line 2019-20 to ground be vM. Relative velocity of the monkey v = vM — DA: —18 km h’1 =—5 mS’l. Therefore, 4"
geography/,"llOSZCHl 5 LIFE ON THE EARTH y now you might have realised that all B units of this book have acquainted you with the three major realms of the environment, that is, the lithosphere, the atmosphere and the hydrosphere. You know that living organisms of the earth, constituting the biosphere, interact with other environmental realms. The biosphere includes all the living components of the earth. It consists of all plants and animals, including all the micro- Life on the earth is found almost everywhere. Living organisms are found from the poles to the equator, from the bottom of the sea to several km in the air, from freezing waters to dry valleys, from under the sea to underground water lying below the earth’s surface. organisms that live on the planet earth and their interactions with the surrounding environment. Most of the organisms exist on the lithosphere and / or the hydrosphere as well as in the atmosphere. There are also many organisms that move freely from one realm to the other. The biosphere and its components are very significant elements of the environment. These elements interact with other components of the natural landscape such as land, water and soil. They are also influenced by the atmospheric elements such as the temperature, rainfall, moisture and sunlight. The interactions of biosphere with land, air and water are important to the growth, development and evolution of the organism. CHAPTER ECOLOGY You have been reading about ecological and environmental problems in newspapers and magazines. Have you ever thought what ecology is? The environment as you know, is made up of abiotic and biotic components. It would be interesting to understand how the diversity of life-forms is maintained to bring a kind of balance. This balance is maintained in a particular proportion so that a healthy interaction between the biotic and the abiotic components goes on. The interactions of a particular group of organisms with abiotic factors within a particular habitat resulting in clearly deﬁned energy ﬂows and material cycles on land, water and air, are called ecological systems. The term ecology is derived from the Greek word ‘oikos’ meaning ‘house’, combined with the word ‘logy’ meaning the ‘science of or ‘the study of’. Literally, ecology is the study of the earth as a ‘household’, of plants, human beings, animals and micro-organisms. They all live together as interdependent components. A German zoologist Ernst Haeckel, who used the term as ‘oekologie’ in 1869, became the first person to use the term ‘ecology’. The study of interactions between life forms (biotic) and the physical environment (abiotic) is the science of ecology. Hence, ecology can be defined as a scientific study of the interactions of organisms with their physical environment and with each other. 2019-2020"
physics/,"MECllANlCAL PROPERTIES OF FLUIDS 25l chest a large, light but strong wooden plank is placed first, is saved from this accident. Such everyday experiences convince us that both the force and its coverage area are important. Smaller the area on which the force acts, greater is the impact. This impact is known as pressure. When an object is submerged in a ﬂuid at rest, the ﬂuid exerts a force on its surface. This force is always normal to the object’s surface. This is so because if there were a component of force parallel to the surface, the object will also exert a force on the ﬂuid parallel to it; as a consequence of Newton’s third law. This force will cause the ﬂuid to ﬂow parallel to the surface. Since the ﬂuid is at rest, this cannot happen. Hence, the force exerted by the ﬂuid at rest has to be perpendicular to the surface in contact with it. This is shown in Fig. 10.1(a). The normal force exerted by the ﬂuid at a point may be measured. An idealised form of one such pressure-measuring device is shown in Fig. 10. 1 (b). It consists of an evacuated chamber with a spring that is calibrated to measure the force acting on the piston. This device is placed at a point inside the ﬂuid. The inward force exerted by the ﬂuid on the piston is balanced by the outward spring force and is thereby measured. (a) [b] Fig. 10.1 (a) The force exerted by the liquid in the beaker on the submerged object or on the walls is normal (perpendicular) to the surface at all points. (b) An idealised device for measuring pressure. If Fis the magnitude of this normal force on the piston of area A then the average pressure Pay is defined as the normal force acting per unit area. F P :— an A (10.1) In principle, the piston area can be made arbitrarily small. The pressure is then defined in a limiting sense as lim AF Pressure is a scalar quantity. We remind the reader that it is the component of the force normal to the area under consideration and not the (vector) force that appears in the numerator in Eqs. (10.1) and (10.2). Its dimensions are [ML—1T2]. The S1 unit of pressure is N m‘2. It has been named as pascal (Pa) in honour of the French scientist Blaise Pascal (1623- 1662) who carried out pioneering studies on ﬂuid pressure. A common unit of pressure is the atmosphere (atm), i.e. the pressure exerted by the atmosphere at sea level (1 atm = 1.013 x 105 Pa). Another quantity, that is indispensable in describing ﬂuids, is the density p. For a ﬂuid of mass m occupying volume V, —2- now p—V - The dimensions of density are [ML—3]. Its SI unit is kg m‘3. It is a positive scalar quantity. A liquid is largely incompressible and its density is therefore, nearly constant at all pressures. Gases, on the other hand exhibit a large variation in densities with pressure. The density of water at 4°C (277 K) is 1.0 x 103 kg m‘3. The relative density of a substance is the ratio of its density to the density of water at 4°C. It is a dimensionless positive scalar quantity. For example the relative density of aluminium is 2.7. Its density is 2.7 x 103 kg m‘3. The densities of some common ﬂuids are displayed in Table 10.1. Table 10.1 Densities of some common ﬂuids at STP* Water 1.00 x 103 Sea water 1.03 x 103 Mercury 13.6 x 103 Ethyl alcohol 0.806 X 103 Whole blood 1.06 x 103 Air 1.29 Oxygen 1.43 Hydrogen 9.0 x 10'2 Interstellar space z 10'20 * STP means standard temperature (00C) and 1 atm pressure. 2019-20"
biology/,"CELL: THE UNIT OF LIFE 1. 10. 11. 12. 13. 14. EXERCISES Which of the following is not correct? (a) Robert Brown discovered the cell. (b) Schleiden and Schwann formulated the cell theory. (c) Virchow explained that cells are formed from pre-existing cells. (d) A unicellular organism carries out its life activities within a single cell. New cells generate from (a) bacterial fermentation (b) regeneration of old cells (c) pre-existing cells (d) abiotic materials Match the following Column I Column H (a) Cristae (i) Flat membranous sacs in stroma (b) Cisternae (ii) Infoldings in mitochondria (c) ’Ihylakoids (iii) Disc-shaped sacs in Golgi apparatus Which of the following is correct: (a) Cells of all living organisms have a nucleus. (b) Both animal and plant cells have a well defined cell wall. (c) In prokaryotes, there are no membrane bound organelles. (d) Cells are formed de novo from abiotic materials. What is a mesosome in a prokaryotic cell? Mention the functions that it performs. How do neutral solutes move across the plasma membrane? Can the polar molecules also move across it in the same way? If not, then how are these transported across the membrane? Name two cell-organelles that are double membrane bound. What are the characteristics of these two organelles? State their functions and draw labelled diagrams of both. What are the characteristics of prokaryotic cells? Multicellular organisms have division of labour. Explain. Cell is the basic unit of life. Discuss in brief. What are nuclear pores? State their function. Both lysosomes and vacuoles are endomembrane structures, yet they differ in terms of their functions. Comment. Describe the structure of the following with the help of labelled diagrams. (i) Nucleus (ii) Centrosome What is a centromere? How does the position of centromere form the basis of classiﬁcation of chromosomes. Support your answer with a diagram showing the position of centromere on different types of chromosomes. 141"
physics/,"Founders of Kinetic Theory of Gases James Clerk Maxwell (1831 — 1879). born in Edinburgh. Scotland. was among the greatest physicists of the nineteenth century. He derived the thermal velocity distribution of molecules in a gas and was among the first to obtain reliable estimates of molecular parameters from measurable quantities like viscosity. etc. Maxwell's greatest achievement was the unification of the laws of electricity and magnetism (discovered by Coulomb. Oersted. Ampere and Faraday) into a consistent set of equations now called Maxwell's equations. From these he arrived at the most important conclusion that light is an electromagnetic wave. Interestingly. Maxwell did not agree with the idea [strongly suggested by the Faraday's laws of electrolysis] that electricity was particulate in nature. Ludwig Boltzmann (1844 — 1906) born in Vienna. Austria. worked on the kinetic theory of gases independently of Mamvell. A firm advocate of atomism. that is basic to kinetic theory. Boltzmann provided a statistical interpretation of the Second Law of thermodynamics and the concept of entropy. He is regarded as one of the founders of classical statistical mechanics. The proportionality constant connecting energy and temperature in kinetic theory is known as Boltzmann's constant in his honour."
accounts/,"Trial Balance and Rectification of Errors 213 Illustration 7 Trial balance of Kailash did not agree. He put the difference to suspense account. The following errors were discovered : (i) (ii) (iii) {iv} (V) (vi) (vii) Goods withdrawn by Kailash for personal use ? 500 were not recorded in the books. Discount allowed to Ramesh ?60 on receiving ? 2,040 from him was not recorded in the books. Discount received from Rohan ? 50 on paying ? 3,250 to him was not posted at all. ? 700 received from Khalil, a debtor, whose account had earlier been written—off as bad, were credited to his personal account. Cash received from Govil, a debtor, ? 5,000 was posted to his account as ? 500. Goods returned to Mahesh ? 700 were posted to his account as ? 70. Bill receivable from Narayan ? 1,000 was dishonoured and wrongly debited to allowances account as ? 10,000. Give journal entries to rectify the above errors and prepare suspense account to ascertain the amount of difference in trial balance. Solution (i) Drawings A/c Dr. 500 To Purchases A/c 500 [Goods withdrawn by proprietor for personal use not recorded, now rectified]. (ii) Discount allowed A/c Dr. 60 To Ramesh’s A/c 60 [Discount allowed to Ramesh not recorded, now rectified] (iii) Rohan’s A/c Dr. 50 To Discount received A/c 50 [Discount received from Rohan not posted , now corrected) {iv} Khalil's A/c Dr. 700 To Bad debts recovered A/c 700 [Bad debts recovered wrongly credited to debtor’s personal account, now corrected) 2019-2020"
biology/,"PHOTOSYNTHESIS IN HIGHER PLANTS 4. RuBisCO is an enzyme that acts both as a carboxylase and oxygenase. Why do you think RuBisCO carries out more carboxylation in C 4 plants? 5. Suppose there were plants that had a high concentration of Chlorophyll b, but lacked chlorophyll a, would it carry out photosynthesis? Then why do plants have chlorophyll b and other accessory pigments? 6. Why is the colour of a leaf kept in the dark frequently yellow, or pale green? Which pigment do you think is more stable? 7. Look at leaves of the same plant on the shady side and compare it with the leaves on the sunny side. Or, compare the potted plants kept in the sunlight with those in the shade. Which of them has leaves that are darker green ? Why? 8. Figure 13. 10 shows the effect of light on the rate of photosynthesis. Based on the graph, answer the following questions: (a) At which point/ s (A, B or C) in the curve is light a limiting factor? (b) What could be the limiting factor / s in region A? (c) What do C and D represent on the curve? 9. Give comparison between the following: (a) C3 and C 4 pathways (b) Cyclic and non-cyclic photophosphorylation (c) Anatomy of leaf in C3 and C 4 plants"
geography/,"What do the words volcanism and volcanoes indicate? DENUDATIONAL PROCESSES Why do you think that the slopes or gradients are created by tectonic factors? Mass Movmmms Transpm 1 DRIVING Gravitational / Molecular Stresses/ - ,- - . ‘ . FORCE/ 4 . _ Kinetic Energy ENERGY and/or Chemical _ Actions What is the sole driving force behind all the exogenic processes?"
physics/,"G RAVITATI ON 195 F Example 8.5 The planet Mars has two moons, phobos and delmos. (i) phobos has a period 7 hours, 39 minutes and an orbital radius of 9.4 ><1O3 km. Calculate the mass of mars. (ii) Assume that earth and mars move in circular orbits around the sun, with the martian orbit being 1.52 times the orbital radius of the earth. What is the length of the martian year in days ‘? Answer (i) We employ Eq. (8.38) with the sun’s mass replaced by the martian mass Mm 4n T2=GM R3 M 47:51R3 m G T2 4><(3.14)2 ><(9.4)3 x 1018 ‘ 6.67x10'11 ><(459><60)2 4><(3.14)2 ><(9.4)3 x1018 6.67x (4.59 x (5)2 x 10'5 = 6.48 x 1023 kg. (ii) Once again Kepler’s third law comes to our aid, M m i _ R545 T; R25 where RMs is the mars -sun distance and REs is the earth-sun distance. TM = (1.52)?”2 x 365 = 684 days We note that the orbits of all planets except Mercury, Mars and Pluto* are very Close to being circular. For example, the ratio of the semi-minor to semi-major axis for our Earth is, b/a = 0.99986. 4 Example 8.6 Weighing the Earth : You are given the following data: g = 9.81 ms”, RE = 6.37x106 m. the distance to the moon R = 3.84x108 m and the time period of the moon’s revolution is 27 .3 days. Obtain the mass of the Earth ME in two different ways. Answer From Eq. (8.12) we have R2 ME = QGE * Refer to information given in the Box on Page 182 2 9.81 x (6.37x 106 _ 6.67x1o’11 = 5.97>< 1024kg. The moon is a satellite of the Earth. From the derivation of Kepler’s third law [see Eq. (8.38)] T2 = 4n2R3 GME 4 2R3 ME: 75 2 GT 4 x314 >< 3.14><(3.84)3 x 1024 _ 6.67>< 10’11 ><(27.3>< 24 x 60x 60)2 = 6.02x1024kg Both methods yield almost the same answer, the difference between them being less than 1%. 4 b Example 8.7 Express the constant k of Eq. (8.38) in days and kilometres. Given k = 10 13 s2 m‘3. The moon is at a distance of 3.84 x 105km from the earth. Obtain its timevperiod of revolution in days. Answer Given k = 10—13 s2 m—3 _ f 1 ll 1 l = 10 13L d2J| | (24x60x60)2 L(1/1000)3km3j k, = 1.33 ><10'14 d2 km—3 Using Eq. (8.38) and the given value of the time period of the moon is 2= (1.33 x 10‘14)(3.84 x 105)3 T = 27.3 d 4 Note that Eq. (8.38) also holds for elliptical orbits if we replace (RE+h) by the semi-major axis of the ellipse. The earth will then be at one of the foci of this ellipse. 8. 10 ENERGY OF AN ORBITING SATELLITE Using Eq. (8.35), the kinetic energy of the satellite in a circular orbit with speed 1) is K-E = 1mu2 2 _M 2(RE + h) ’ (8-40) 2019-20"
physics/,"G RAVITATI ON — APPENDIX 8. l : LIST OF INDIAN SATELLITES S.No. Name Launch Date Launch Vehicle Application 1. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. Sm???” Aryabhata Bhaskara—I Rohini Technology Payload (RTP) Rohini Satellite RS—l Rohini Satellite RS—Dl APPLE Bhaskara-II INSAT- 1A Rohini Satellite RS-D2 INSAT- 1B SROSS- 1 IRS— 1A SROSS—2 INSAT— 1C INSAT- 1D IRS- 1B SROSS—C INSAT—2A INSAT~2B IRS— 1E SROSS—C2 IRS—P2 INSAT~2C IRS— 1C IRS—P3 INSAT—2D IRS— 1D INSAT—2E Oceansat (IRS—P4) INSAT—3B GSAT- 1 The Technology Experiment Satellite (TES) IN SAT — 3 C Apr. 19, 1975 Jun. 07, 1979 Aug. 10, 1979 Jul. 18, 1980 May 31, 1981 Jun. 19. 1981 Nov. 20, 1981 Apr. 10, 1982 Apr. 17, 1983 Aug. 30, 1983 Mar. 24, 1987 Mar. 17, 1988 Jul. 13, 1988 Jul. 22, 1988 Jun. 12, 1990 Aug. 29, 1991 May 20, 1992 Jul. 10, 1992 Jul. 23, 1993 Sep. 20, 1993 May 04, 1994 Oct. 15, 1994 Dec. 07, 1995 Dec. 28, 1995 Mar. 21, 1996 Jun. 04, 1997 Sep. 29, 1997 Apr. 03, 1999 May 26, 1999 Mar. 22, 2000 Apr. 18, 2001 Oct. 22, 2001 Jan. 24, 2002 2019-20 0 1 lntercosmos‘1 C— 1 lntercosmos“ SLV—3E 1 ‘7 SLV—3E2b SLV—3D 1 ‘7 Ariane - 1 (V ~3)c C- 1 Intercosmos“ Deltad SLV—3 b Shuttle [PAM—D]d ASLV-D 1 b Vostoke ASLV—D2 b Ariane—3c Delta 4925“! Vostoke ASLV—D3b Ariane—44L H10“ Ariane-44L H10” PSLV—D 1 1’ ASLV—D4b PSLV—D2b Ariane—44L H10—3C Molniyae PSLV—D3/IRS—l’3b Ariane-44L H10—3“ PSLV—C 1 /IRS- lDb Ariane—42P H10—3“ PSLV—C2/IRS-P4b Ariane—BGC GSLV—D l/GSAT- 1 b PSLV—C3/TESb Ariane5—V 1 470 Experimental Earth Observation, Experimental Experimental Experimental Earth Observation Communication, Experimental Earth Observation, Experimental Communication Earth Observation Communication Experimental Earth Observation Earth Observation, Experimental Communication Communication Earth Observation Experimental Communication Communication Earth Observation Experimental Earth Observation Communication Earth Observation Earth Observation Communication Earth Observation Communication Earth Observation Communication Communication Earth Observation Climate & Environment, Communication"
accounts/,"208 Accountancy Solution (i) Suspense A/c Dr. 1 ,000 To Sales Return A/c 1,000 [Sales returns book overcast by ? 1,000, now corrected). (ii) Purchases A/c Dr. 600 To Suspense A/c 600 [Purchases book undercast by ? 600, now corrected) (iii) Sales A/c Dr. 400 To Suspense A/c 400 [Error in carry forward of sales book, now corrected]. Note: Errors in carry forward the total of one page to another during a period ﬁnally affects the total of that book resulting in error of under/ overcasting. In this case, carry forward from page 4 to 5 resulted in undercasting of ? 200 and carry forward from page 8 to page 9 resulted in overcasting of ? 600. Overall overcasting being ?600—200 = 3 400. {iv} Sales A/c Dr. 1 ,000 To Return Outwards A/c 1,000 [Return Outwards wrongly recorded through sales book, now rectified). (V) Purchases A/c Dr. 8,000 Sales A/c Dr. 8,000 To M & Co.’s A/c 16,000 [Credit purchases wrongly recorded through sales book, now rectified]. (vi) Purchases A/c Dr. 5,000 Sales A/c Dr. 5,000 To Suspense A/c 10.000 [Credit purchases wrongly recorded through sales book, however suppliers account correctly credited, now rectified]. 2019-2020"
biology/,"276 BIOLOGY Occupational Respiratory Disorders: In certain industries, especially those involving grinding or stone-breaking, so much dust is produced that the defense mechanism of the body cannot fully cope with the situation. Long exposure can give rise to inﬂammation leading to ﬁbrosis (proliferation of ﬁbrous tissues) and thus causing serious lung damage. Workers in such industries should wear protective masks. SUMMARY Cells utilise oxygen for metabolism and produce energy along with substances like carbon dioxide which is harmful. Animals have evolved different mechanisms for the transport of oxygen to the cells and for the removal of carbon dioxide from there. We have a well developed respiratory system comprising two lungs and associated air passages to perform this function. The ﬁrst step in respiration is breathing by which atmospheric air is taken in (inspiration) and the alveolar air is relegeél‘nut (expiration) Exchange of O2 and CO2 between deoxygenated blood and alve'qh, transpoit of these gases throughout the2 body by blood, exchange 0&0?"" d 6202 betweenrth’e oxygenated blood and tissues and utilisation of O 2b3f the cell‘s (cellular respiratlon) are the other steps involved. ‘7 r. .. ‘ Inspiration and exprnatlmn between the atmosphere a‘itld the alvedll- intercostals and diaphragm Volumes‘ ref air involved in these activities can be estimated with therhejpl of spirometer and are of clinical signiﬁcance. Exchange of 62 arfd CO2 at the’alYeoll and tissues occur by diffusion. Rate of diffusion 1s dependent on the‘pa’rrtlal pressure gradients of 02 (p02) and CO2 (pCO2 ), their solubility as well as thel‘vthickness of the diffusion surface. These factors in our body facilitate d1ffus1on of 02 from the alveoli to the deoxygenated blood as well as from the oxy enated blood2 to the tissues. The factors are favourable for the diffusion of CO2 in? e/eppOSIte direction, 1. e., from tissues to alveoli. Oxygen 1s transported mainly as oxyhaemoglobin. In the alveoli where p02 is higher, 02 gets bound to haemoglobin which is easily dissociated at the tissues where p02 is low and pCO2 and H’“ concentration are high. Nearly 7 0 per cent of carbon dioxide is transported as bicarbonate (HCOQ with the help of the enzyme carbonic anhydrase. 20-25 per cent of carbon dioxide is carried by haemoglobin as carbamino-haemoglobin. In the tissues where pCO2 is high, it gets bound to blood whereas in the alveoli where pCO2 is low and p02 is high, it gets removed from the blood. Respiratory rhythm is maintained by the respiratory centre in the medulla region of brain. A pneumotaxic centre in the pons region of the brain and a chemosensitive area in the medulla can alter respiratory mechanism."
